,id,code,statDate,pubDate,statDate.1,eps,adjusted_profit,operating_profit,value_change_profit,roe,inc_return,roa,net_profit_margin,gross_profit_margin,expense_to_total_revenue,operation_profit_to_total_revenue,net_profit_to_total_revenue,operating_expense_to_total_revenue,ga_expense_to_total_revenue,financing_expense_to_total_revenue,operating_profit_to_profit,invesment_profit_to_profit,adjusted_profit_to_profit,goods_sale_and_service_to_revenue,ocf_to_revenue,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_total_revenue_annual,inc_revenue_year_on_year,inc_revenue_annual,inc_operation_profit_year_on_year,inc_operation_profit_annual,inc_net_profit_year_on_year,inc_net_profit_annual,inc_net_profit_to_shareholders_year_on_year,inc_net_profit_to_shareholders_annual
0,61750,002107.XSHE,2025-12-31,2026-01-20,2025-12-31,0.1658,92106702.57,95654174.78,1763146.58,13.4698,12.9619,9.046,10.8686,75.3823,88.2913,12.681,10.8686,49.8501,8.0947,-0.4823,93.4309,1.7222,96.2299,110.3682,15.7323,134.3649,6.9599,,6.9599,,132.3578,,163.0181,,162.9297,
1,61754,300803.XSHE,2025-12-31,2026-01-31,2025-12-31,0.3747,172216506.0,-11820269.0,220733781.0,9.0534,6.8409,1.724,14.6541,90.9938,100.5508,9.8398,10.5115,51.7542,30.2928,1.3164,-5.7573,107.5123,75.5613,84.2974,142.2628,-25830.3073,40.3885,,27.0806,,105.2836,,116.5294,,118.7357,
2,61760,688230.XSHG,2025-12-31,2026-02-03,2025-12-31,0.9027,68886393.66,67907022.12,41068236.83,4.6819,3.0382,4.5585,26.9692,32.8414,82.7475,29.0761,26.9692,2.2881,4.9032,-0.1633,59.3166,35.873000000000005,64.8935,103.8459,15.9517,92.4604,11.522,,11.522,,-4.974,,-4.9145,,-4.9145,
3,61767,000563.XSHE,2025-12-31,2026-02-10,2025-12-31,0.2801,1429527642.06,1909796334.15,1102089759.96,7.7791,7.7626,5.2186,48.5211,,35.3152,64.6848,48.5211,,29.7018,,42.3417,57.7739,99.7878,,-29.7883,-46.0514,0.848,,0.848,,4.0360000000000005,,5.2543,,5.2543,
4,61768,002072.XSHE,2025-12-31,2026-02-11,2025-12-31,-0.0603,-14112104.25,-15280108.55,0.0,-15.4577,-9.8338,-13.3323,-4.7733,1.0667,103.288,-3.0351,-4.7733,1.474,2.7096,0.0149,68.9064,0.0,63.6179,118.68,0.0543,-1.6502,-25.8935,,-25.8935,,-710.5072,,-1142.6086,,-1142.6086,
5,61772,000608.XSHE,2025-12-31,2026-02-12,2025-12-31,-0.29100000000000004,-225325641.87,-88469804.33,-116994299.75,-9.9474,-10.2718,-4.6342,-63.2445,29.642,125.9034,-67.4788,-63.2445,7.3324,16.1574,25.2896,38.7835,51.2881,103.26100000000001,104.195,48.2653,-186.3284,-7.1087,,-7.1087,,-40.7363,,-61.7367,,-69.0131,
