,id,code,statDate,pubDate,statDate.1,eps,adjusted_profit,operating_profit,value_change_profit,roe,inc_return,roa,net_profit_margin,gross_profit_margin,expense_to_total_revenue,operation_profit_to_total_revenue,net_profit_to_total_revenue,operating_expense_to_total_revenue,ga_expense_to_total_revenue,financing_expense_to_total_revenue,operating_profit_to_profit,invesment_profit_to_profit,adjusted_profit_to_profit,goods_sale_and_service_to_revenue,ocf_to_revenue,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_total_revenue_annual,inc_revenue_year_on_year,inc_revenue_annual,inc_operation_profit_year_on_year,inc_operation_profit_annual,inc_net_profit_year_on_year,inc_net_profit_annual,inc_net_profit_to_shareholders_year_on_year,inc_net_profit_to_shareholders_annual
23,61556,688755.XSHG,2023-12-31,2025-04-24,2023-12-31,,50694978.25,82588188.93,-254399.35,8.5453,8.4121,3.7354,8.3193,39.5924,86.65799999999999,10.3797,8.3193,11.2134,8.9647,-0.8131,134.912,-0.4156,98.4417,91.0405,18.3079,137.2207,28.4802,,28.4802,,42.9122,,33.5527,,33.5527,
24,61557,301636.XSHE,2023-12-31,2025-04-17,2023-12-31,,112338484.62,138825770.16,-459144.06,31.4488,29.4047,15.2648,14.2303,26.5503,83.5574,16.219,14.2303,1.379,5.0091,-0.342,101.4274,-0.3355,93.5004,80.8772,21.4846,130.6645,61.7675,,61.7675,,48.0758,,39.0611,,39.0611,
25,61560,603014.XSHG,2023-12-31,2025-04-25,2023-12-31,,429311112.32,493637753.4,25898297.29,9.0186,8.7584,6.7533,12.5156,43.7402,86.0244,14.9149,12.5156,19.4783,4.7917,-0.1199,94.2401,4.9442,97.11399999999999,123.8534,8.1576,58.3702,3.0947,,3.0947,,39.7253,,40.3565,,40.3565,
26,61561,301595.XSHE,2023-12-31,2025-04-24,2023-12-31,,80756667.67,96369347.74,1819386.11,24.3063,23.1044,14.3081,10.1737,59.3592,88.4625,11.7536,10.1737,33.5518,9.9475,-0.0577,97.9275,1.8488,95.0552,109.43,18.0255,156.2347,30.951,,30.951,,49.8443,,44.3438,,44.3987,
27,61622,001390.XSHE,2023-12-31,2025-05-09,2023-12-31,,121036616.29,125496165.07,-425787.59,17.7878,17.6794,11.3107,14.6654,22.0746,84.887,14.6756,14.6654,0.1932,1.6743,1.5588,103.0524,-0.3496,99.3904,99.4409,-0.6683,-4.4221,24.4648,,24.4648,,26.5593,,25.5285,,25.5285,
28,61625,603049.XSHG,2023-12-31,2025-05-15,2023-12-31,,2498292700.0,2747076968.27,0.0,20.3089,19.2343,6.8746,7.4828,19.3451,92.2074,7.6197,7.4828,3.7778,2.5859,0.7551,102.3688,0.0,94.7091,81.9463,7.3938,94.8815,10.5473,,10.5473,,118.8636,,115.3586,,115.3559,
29,61626,301590.XSHE,2023-12-31,2025-05-15,2023-12-31,,255848429.03,302729965.27,8129664.24,41.6153,39.6717,22.093000000000004,19.5101,33.134,77.993,22.113000000000003,19.5101,3.4445,1.8765,-0.5596,99.5149,2.6724,95.3295,79.2154,20.8147,94.5821,39.2439,,39.2439,,35.5746,,36.8437,,36.8437,
30,61628,688775.XSHG,2023-12-31,2025-05-22,2023-12-31,,791168609.19,902382573.72,22448363.01,46.6653,44.5049,33.0074,22.8131,55.9525,75.1847,25.6936,22.8131,14.5276,3.1478,0.2857,96.7525,2.4069,95.3703,101.1262,20.9574,84.4533,78.1555,,78.1555,,115.54799999999999,,103.6597,,103.6597,
31,61631,603382.XSHG,2023-12-31,2025-05-23,2023-12-31,,120533003.61,144347440.28,236619.28,12.4145,11.9795,5.7993,3.4052,8.1266,96.4902,4.0289,3.4052,0.556,1.9651,0.0599,86.3694,0.1416,96.4954,65.5471,8.2148,234.05700000000002,1.1211,,1.1211,,-17.0379,,-15.9021,,-18.8906,
32,61645,301678.XSHE,2023-12-31,2025-05-30,2023-12-31,,148545794.66,179944041.42,0.0,15.9504,15.552999999999999,13.6281,19.9982,37.4839,76.5309,22.2576,19.9982,1.3551,5.5852,-0.7486,105.3805,0.0,97.5083,89.5425,13.2123,56.2966,12.1261,,12.1261,,40.3589,,38.0438,,38.576,
33,61659,688729.XSHG,2023-12-31,2025-06-19,2023-12-31,,270108346.25,286514667.89,28224423.28,5.9943,5.2328,3.8823,7.8704,35.0261,92.7122,6.725,7.8704,7.0437,5.3781,-0.2909,108.1911,10.6578,87.2952,108.9074,15.2508,209.2645,-17.4526,,-17.4526,,-33.8989,,-19.1108,,-19.1108,
