,id,code,statDate,pubDate,statDate.1,eps,adjusted_profit,operating_profit,value_change_profit,roe,inc_return,roa,net_profit_margin,gross_profit_margin,expense_to_total_revenue,operation_profit_to_total_revenue,net_profit_to_total_revenue,operating_expense_to_total_revenue,ga_expense_to_total_revenue,financing_expense_to_total_revenue,operating_profit_to_profit,invesment_profit_to_profit,adjusted_profit_to_profit,goods_sale_and_service_to_revenue,ocf_to_revenue,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_total_revenue_annual,inc_revenue_year_on_year,inc_revenue_annual,inc_operation_profit_year_on_year,inc_operation_profit_annual,inc_net_profit_year_on_year,inc_net_profit_annual,inc_net_profit_to_shareholders_year_on_year,inc_net_profit_to_shareholders_annual
0,55816,603535.XSHG,2024-12-31,2025-02-20,2024-12-31,0.53,205449888.77,228375679.52,1834770.59,7.3543,8.2576,4.0593,14.4383,32.6836,82.0181,16.0868,14.4383,3.1352,5.1594,4.1436,114.2087,0.9176,112.2821,94.8011,11.6841,64.9772,7.0781,,7.0781,,17.8429,,22.3447,,22.0709,
1,55817,301522.XSHE,2024-12-31,2025-02-25,2024-12-31,0.4345,130041225.95,135354508.63,4321011.89,10.7475,8.6499,4.8113,6.4412,13.9133,94.6041,7.006,6.4412,0.9993,2.0258,1.0513,77.1928,2.4643,80.4832,96.9458,3.2971,61.104,23.2892,,23.2892,,6.4595,,7.1419,,7.1419,
2,55818,603050.XSHG,2024-12-31,2025-02-25,2024-12-31,0.6526,141765711.15,220953653.57,1666888.5,10.9657,8.7413,3.4468,4.4003,21.6446,94.6093,4.3587,4.4003,6.3135,3.4074,0.8017,123.7326,0.9334,79.7151,90.0721,2.4017,44.553000000000004,4.9754,,4.9754,,-46.1038,,-40.9363,,-40.5385,
3,55819,300033.XSHE,2024-12-31,2025-02-25,2024-12-31,3.3915,1764896337.92,1868498124.36,20973456.19,23.8441,23.0807,17.5135,43.5483,89.4096,55.3716,46.9785,43.5483,14.1411,5.2875,-4.9184,95.0917,1.0674,96.7986,116.6388,55.305,123.9234,17.465999999999998,,17.465999999999998,,30.1012,,30.0042,,30.0041,
4,55820,600535.XSHG,2024-12-31,2025-02-25,2024-12-31,0.6396,1035706322.69,1441353015.45,-213447906.03,7.8741,8.5343,5.4215,10.1087,67.1428,83.0392,12.6607,10.1087,35.1641,4.0644,-0.2963,134.871,-19.9729,108.3844,108.9049,23.7059,139.7686,-2.0276,,-2.0276,,-12.3756,,-15.5005,,-10.7823,
5,55824,603196.XSHG,2024-12-31,2025-02-26,2024-12-31,-0.6693,-165577514.78,-25707740.7,238864.88,-22.1019,-23.0713,-14.4465,-18.3388,55.5636,102.9688,-16.9923,-18.3388,39.0003,14.6498,0.8744,17.3483,-0.1612,104.3857,124.8266,11.4029,-384.0837,-15.6812,,-15.6812,,-676.5184,,-1029.917,,-1028.8745,
6,55825,002188.XSHE,2024-12-31,2025-02-26,2024-12-31,0.0216,26012421.06,39929614.7,0.0,3.264,11.9917,1.6725,1.8932,22.5338,88.9988,9.7927,1.8932,1.1417,9.8498,-0.2443,244.41099999999997,0.0,367.3965,97.0155,-7.0138,-63.7552,6.8015,,6.8015,,-28.6422,,-65.693,,-64.9838,
7,55826,002315.XSHE,2024-12-31,2025-02-26,2024-12-31,1.4222,437549981.54,465978863.01,22958528.08,18.125,17.5772,11.1906,27.3795,80.3854,72.0774,29.8164,27.2473,36.0348,9.7254,-3.1262,93.9493,4.6288,96.9777,118.8543,42.3049,151.5075,9.3183,,9.3082,,25.5009,,18.8884,,19.089000000000002,
8,55827,688082.XSHG,2024-12-31,2025-02-27,2024-12-31,2.6284,1108846723.27,1311165095.95,56492225.54,16.3296,15.7017,10.5399,20.5276,48.8643,76.6603,23.1397,20.5276,7.5159,5.332999999999999,-0.4764,100.807,4.3433,96.1549,99.4731,21.6483,92.7528,44.4765,,44.4765,,34.8605,,26.6514,,26.6513,
9,55828,002675.XSHE,2024-12-31,2025-02-27,2024-12-31,0.2229,79274001.79,219884675.98,-12916535.71,3.9721,1.7129,1.692,4.9295,47.1397,92.3357,7.6964,4.9295,14.4572,11.0442,2.6921,100.3568,-5.8952,43.1245,99.0436,10.009,130.5915,-12.4162,,-12.4162,,-35.3731,,-44.3683,,-12.3537,
10,55829,600506.XSHG,2024-12-31,2025-02-28,2024-12-31,0.1635,19148742.98,19917762.67,141419.73,7.4267,4.5309,1.5388,1.3565,20.3995,99.1392,1.7732,1.3565,9.3342,4.8833,2.5532,47.8941,0.3401,61.0074,105.8268,18.494,2148.4566,3.3491,,3.3491,,164.2126,,164.0765,,164.0765,
11,55830,600359.XSHG,2024-12-31,2025-02-28,2024-12-31,0.0834,17861411.45,54325284.65,0.0,4.8309,2.7108,2.6223,5.8245,23.0245,90.4996,4.6218,5.8245,1.7951,7.8635,0.4459,167.7161,0.0,56.1123,97.6883,14.3267,150.8011,4.2573,,4.2573,,-62.3837,,-51.4493,,-53.8075,
12,55831,600816.XSHG,2024-12-31,2025-02-28,2024-12-31,0.0054,83670493.81,54063900.67,21789353.49,0.3969,0.6247,0.2246,1106.893,98.4904,82.5788,54.4241,16.7093,,77.1067,,102.5253,69.2174,157.3846,,84.9813,487.8038,-7.1508,,,,-37.6158,,22.9413,,25.1498,
13,55832,300842.XSHE,2024-12-31,2025-02-28,2024-12-31,2.5584,439103856.09,535476137.56,-155395178.12,24.0198,29.3009,4.7237,2.2489,9.3846,96.5117,2.2754,2.2489,1.2936,0.4608,0.8312,146.817,-42.6063,121.9863,98.1535,6.1151,175.3025,59.8548,,59.8548,,-14.4206,,-8.5902,,-6.6588,
14,55833,600299.XSHG,2024-12-31,2025-02-28,2024-12-31,0.4491,1346220882.0,1865551111.0,-131237310.0,7.8767,8.8048,5.5081,7.76,30.2138,87.9907,11.1073,7.76,8.6976,5.8357,0.361,118.4851,-8.3352,111.7821,101.9393,18.956,157.8445,17.829,,17.829,,2423.5399,,2188.2701,,2208.6628,
15,55834,002818.XSHE,2024-12-31,2025-02-28,2024-12-31,0.9222,681709696.12,796447165.44,48065726.86,11.7567,11.6111,9.9667,49.1374,67.2429,44.2998,58.8719,49.1374,0.3632,4.5419,-0.0543,95.1139,5.7401,98.7617,98.5864,57.0493,102.42200000000001,-6.1802,,-6.1802,,-12.7991,,-14.9385,,-14.3888,
16,55835,001207.XSHE,2024-12-31,2025-02-28,2024-12-31,1.3449,269861969.91,303342090.94,-7057379.97,15.0149,14.8886,10.709000000000001,12.1079,19.2456,86.61200000000001,13.831,12.1079,0.8074,1.7076,-0.7725,97.1431,-2.2601,99.15899999999999,67.6052,8.8417,66.042,18.2122,,18.2122,,63.1686,,61.0158,,61.463,
17,55836,605077.XSHG,2024-12-31,2025-02-28,2024-12-31,0.8777,259209019.09,265110902.49,18035441.81,8.4791,8.1862,4.0819,9.5708,21.7713,90.5602,10.3027,9.5708,1.8617,4.7646,0.2983,92.5126,6.2936,96.5455,99.1079,5.2163,55.2585,0.925,,0.925,,-32.2518,,-27.8194,,-27.7205,
18,55837,688486.XSHG,2024-12-31,2025-02-28,2024-12-31,1.4119,111425364.58,115536156.91,24884415.15,10.0942,7.7885,9.6632,30.9894,55.4847,75.207,31.8823,30.9894,2.3759,5.9237,0.1438,75.54,16.27,77.1583,99.9159,25.0831,101.1701,44.2075,,44.2075,,44.5201,,40.6211,,40.6211,
19,55838,002162.XSHE,2024-12-31,2025-02-28,2024-12-31,-0.1599,-167586639.58,-25064559.26,-5841234.69,-16.1767,-18.4266,-6.7934,-12.459000000000001,21.3247,102.0815,-9.1463,-12.459000000000001,13.8539,6.1806,1.6426,22.4954,5.2425,113.90799999999999,104.266,6.8288,-328.07,-5.7894,,-5.7894,,-361.3392,,-412.3359,,-393.8741,
20,55839,301173.XSHE,2024-12-31,2025-04-25,2024-12-31,,160389791.67,252316573.22,3943769.42,23.4278,21.9999,6.7991,7.1131,18.2622,89.5193,9.2016,7.1131,0.8378,3.4124,0.1669,114.4725,1.7892,93.9055,72.181,3.6788,35.1012,-3.3456,,-3.3456,,6.468999999999999,,7.8691,,6.9809,
21,55840,603009.XSHG,2024-12-31,2025-02-28,2024-12-31,0.21100000000000002,54958707.9,93617575.86,-1699642.98,4.386,3.3743,2.1829,3.6653,18.4511,95.3735,3.9228,3.6653,1.6555,5.1249,1.4198,110.7405,-2.0105,76.9344,75.4192,12.0264,259.9461,7.5696,,7.5696,,33.6043,,50.245,,40.4319,
22,55841,688100.XSHG,2024-12-31,2025-02-28,2024-12-31,1.2827,610186963.39,676506211.91,15276060.36,20.061,19.4094,13.6938,22.9861,39.7402,75.3529,26.4322,22.9861,4.573,1.9405,-0.9491,93.2923,2.1066,96.7522,84.0664,17.2632,70.0414,23.3467,,23.3467,,20.5711,,19.8671,,20.0682,
23,55842,002138.XSHE,2024-12-31,2025-02-28,2024-12-31,1.032,781112982.61,1072826712.56,-5541262.09,13.6112,12.7774,7.5198,16.1151,36.4961,81.807,18.5022,16.1151,1.7486,5.1538,1.499,99.0379,-0.5115,93.8743,101.5675,24.2701,133.4033,16.9924,,16.9924,,29.2145,,28.4129,,29.9056,
